n,q,sigma,security,efficiency
64,256,1.0,41.04,15.00
192,65536,1.0,42.82,19.17
896,4096,3.0,307.12,23.20
256,65536,1.0,55.54,20.00
896,16384,3.0,257.26,23.42
64,1024,1.0,38.79,15.32
960,1024,1.0,295.19,23.14
64,16384,1.0,38.45,15.81
448,4096,1.0,117.88,21.20
1024,1024,1.0,315.18,23.32
896,65536,1.0,178.95,23.61
1024,256,1.0,376.84,23.00
64,4096,1.0,38.58,15.58
64,256,3.0,50.44,15.00
192,65536,3.0,54.21,19.17
576,65536,3.0,140.36,22.34
256,65536,3.0,66.48,20.00
1024,16384,1.0,233.39,23.81
64,1024,3.0,39.75,15.32
960,1024,3.0,404.10,23.14
704,16384,3.0,200.83,22.73
64,16384,3.0,41.58,15.81
448,4096,3.0,153.59,21.20
1024,1024,3.0,431.20,23.32
896,65536,3.0,220.26,23.61
1024,256,3.0,866.53,23.00
64,4096,3.0,41.52,15.58
192,4096,1.0,56.59,18.75
768,1024,1.0,235.43,22.49
768,256,1.0,283.22,22.17
128,1024,1.0,48.36,17.32
256,4096,1.0,71.47,19.58
1024,16384,3.0,295.51,23.81
704,65536,1.0,139.80,22.92
832,256,1.0,306.53,22.40
64,65536,1.0,38.34,16.00
768,16384,1.0,173.41,22.98
832,16384,1.0,188.23,23.21
192,4096,3.0,71.67,18.75
768,1024,3.0,323.03,22.49
768,256,3.0,412.57,22.17
512,16384,3.0,145.93,21.81
256,4096,3.0,91.51,19.58
704,65536,3.0,171.74,22.92
960,256,1.0,353.24,22.81
832,256,3.0,445.93,22.40
320,1024,1.0,101.83,19.97
320,256,1.0,123.54,19.64
832,16384,3.0,238.18,23.21
512,65536,1.0,102.51,22.00
320,16384,1.0,75.43,20.45
320,4096,1.0,86.59,20.23
960,16384,1.0,218.23,23.62
704,4096,1.0,183.39,22.50
960,256,3.0,512.68,22.81
320,1024,3.0,138.49,19.97
320,256,3.0,180.40,19.64
640,1024,1.0,196.38,21.97
512,65536,3.0,124.98,22.00
832,65536,1.0,165.78,23.40
128,256,1.0,58.48,17.00
960,16384,3.0,276.37,23.62
704,4096,3.0,240.24,22.50
384,1024,1.0,120.25,20.49
128,16384,1.0,40.39,17.81
512,4096,1.0,134.06,21.58
832,1024,1.0,255.30,22.72
960,65536,1.0,192.14,23.81
832,65536,3.0,203.98,23.40
128,4096,1.0,40.84,17.58
448,1024,1.0,138.97,20.94
448,256,1.0,168.48,20.61
320,65536,1.0,67.00,20.64
128,256,3.0,82.63,17.00
1024,65536,1.0,205.59,24.00
448,16384,1.0,102.27,21.42
832,4096,1.0,217.30,22.99
128,1024,3.0,63.75,17.32
64,65536,3.0,38.73,16.00
768,16384,3.0,219.37,22.98
128,16384,3.0,43.22,17.81
512,4096,3.0,174.89,21.58
832,1024,3.0,349.83,22.72
960,65536,3.0,236.59,23.81
128,4096,3.0,52.07,17.58
448,1024,3.0,190.25,20.94
576,1024,1.0,177.05,21.66
576,256,1.0,213.92,21.34
448,256,3.0,246.37,20.61
192,1024,1.0,66.07,18.49
192,256,1.0,79.93,18.17
1024,65536,3.0,253.16,24.00
640,256,1.0,236.91,21.64
768,65536,1.0,152.65,23.17
256,1024,1.0,83.88,19.32
128,65536,1.0,42.23,18.00
256,256,1.0,101.50,19.00
576,4096,1.0,150.31,21.92
256,16384,1.0,62.51,19.81
960,4096,1.0,251.57,23.40
576,1024,3.0,242.94,21.66
576,256,3.0,312.70,21.34
320,16384,3.0,93.60,20.45
640,16384,1.0,144.49,22.45
1024,4096,1.0,268.98,23.58
192,256,3.0,119.58,18.17
192,1024,3.0,88.21,18.49
320,4096,3.0,111.70,20.23
640,4096,1.0,166.82,22.23
640,256,3.0,345.96,21.64
768,65536,3.0,187.73,23.17
256,1024,3.0,113.10,19.32
128,65536,3.0,40.67,18.00
384,256,1.0,145.87,20.17
256,256,3.0,147.53,19.00
256,16384,3.0,76.84,19.81
640,1024,3.0,269.39,21.97
960,4096,3.0,329.63,23.40
640,16384,3.0,182.33,22.45
1024,4096,3.0,352.18,23.58
640,4096,3.0,218.15,22.23
384,16384,1.0,88.81,20.98
768,4096,1.0,200.22,22.75
384,4096,1.0,105.81,20.75
704,1024,1.0,215.98,22.24
704,256,1.0,259.96,21.92
384,256,3.0,213.29,20.17
640,65536,1.0,127.17,22.64
704,16384,1.0,158.82,22.73
384,1024,3.0,164.22,20.49
320,65536,3.0,80.53,20.64
384,16384,3.0,110.68,20.98
768,4096,3.0,262.42,22.75
256,8380417,2.0,42.25,20.52
384,4096,3.0,132.40,20.75
704,1024,3.0,314.97,22.24
704,256,3.0,379.26,21.92
448,16384,3.0,128.26,21.42
576,16384,1.0,130.22,22.15
832,4096,3.0,284.64,22.99
192,16384,1.0,49.49,18.98
896,1024,1.0,275.23,22.94
896,256,1.0,329.87,22.61
640,65536,3.0,156.03,22.64
512,1024,1.0,157.97,21.32
384,65536,1.0,78.52,21.17
512,256,1.0,191.17,21.00
448,65536,1.0,90.48,21.61
512,16384,1.0,116.21,21.81
896,4096,1.0,234.42,23.20
256,8380417,4.0,46.78,20.52
256,3329,2.0,85.24,19.55
576,16384,3.0,163.91,22.15
896,16384,1.0,203.11,23.42
192,16384,3.0,60.56,18.98
576,4096,3.0,196.47,21.92
896,256,3.0,480.58,22.61
896,1024,3.0,377.04,22.94
512,1024,3.0,216.39,21.32
384,65536,3.0,95.05,21.17
512,256,3.0,283.07,21.00
448,65536,3.0,109.87,21.61
576,65536,1.0,114.81,22.34
